"PROTEIN","FBgn","FBgn_mel","SYMBOL","Sec","Unique.peptides","LFQ.intensity.CAG_1A","LFQ.intensity.CAG_1B","LFQ.intensity.CAG_2_1","LFQ.intensity.CAG_2_2","LFQ.intensity.CAG_3","LFQ.intensity.CEB_1A","LFQ.intensity.CEB_1B","LFQ.intensity.CEB_2_1","LFQ.intensity.CEB_2_2","LFQ.intensity.CEB_3","LFQ.intensity.VAG_1A","LFQ.intensity.VAG_1B","LFQ.intensity.VAG_2_1","LFQ.intensity.VAG_2_2","LFQ.intensity.VAG_3","LFQ.intensity.VEB_1A","LFQ.intensity.VEB_1B","LFQ.intensity.VEB_2_1","LFQ.intensity.VEB_2_2","LFQ.intensity.VEB_3"
"augustus_masked-scaffold499-size82590-abinit-gene-0.8-mRNA-1",NA,NA,NA,"Sec",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2517400
"augustus_masked-scaffold503-size42156-abinit-gene-0.2-mRNA-1","FBgn0207100","FBgn0261270","GJ19958",NA,3,11087000,0,7792100,8992200,8480000,7426500,0,0,7057500,0,0,11127000,8007800,7556400,7346400,7854300,7652800,7743900,9819100,0
"augustus_masked-scaffold5059-size3062-abinit-gene-0.0-mRNA-1",NA,NA,NA,"Sec",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3246600
"augustus_masked-scaffold50-size193894-abinit-gene-0.2-mRNA-1","FBgn0209232","FBgn0022213","GJ22118",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1554700,0
"augustus_masked-scaffold516-size104776-abinit-gene-0.10-mRNA-1","FBgn0209546","FBgn0034577","GJ22434",NA,4,9107700,14404000,8233900,7972000,6643600,8969000,8660700,10921000,10353000,9352200,0,7852700,9224800,8392500,8491200,5473200,7477000,9948600,0,5423300
"augustus_masked-scaffold519-size102323-abinit-gene-0.4-mRNA-1","FBgn0199337","FBgn0031779","GJ12085",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,5450700,4604500,0,0,0,4945900,4406300,0
"augustus_masked-scaffold51-size162202-abinit-gene-0.1-mRNA-1","FBgn0207865",NA,"GJ20727",NA,4,83004000,122410000,139360000,85335000,120840000,43333000,42221000,65197000,63154000,39412000,87654000,74442000,66835000,60795000,123560000,59981000,65867000,46566000,47788000,40195000
"augustus_masked-scaffold51-size162202-abinit-gene-1.6-mRNA-1","FBgn0208737","FBgn0034191","GJ21618",NA,3,0,0,0,8030400,0,0,0,0,0,0,0,0,0,0,0,0,0,6551900,6588600,5947800
"augustus_masked-scaffold51-size162202-abinit-gene-1.7-mRNA-1","FBgn0207854","FBgn0010226","GJ20716",NA,6,17658000,12685000,27866000,30184000,12473000,20787000,22468000,22208000,27736000,34480000,10542000,19098000,17339000,15100000,13174000,16716000,16050000,19089000,13482000,18801000
"augustus_masked-scaffold523-size59043-abinit-gene-0.5-mRNA-1","FBgn0208651","FBgn0039802","GJ21531",NA,8,18084000,30891000,15691000,24855000,26515000,31556000,34413000,43662000,40696000,38191000,20071000,22582000,14683000,17078000,22486000,29768000,25934000,19196000,30364000,35395000
"augustus_masked-scaffold530-size80273-abinit-gene-0.10-mRNA-1","FBgn0197499","FBgn0040212","GJ10212","Sec",20,0,0,0,0,0,137020000,127320000,149770000,168550000,142500000,0,0,0,0,0,98076000,113400000,126250000,110150000,95986000
"augustus_masked-scaffold530-size80273-abinit-gene-0.11-mRNA-1","FBgn0198233","FBgn0039341","GJ10965",NA,11,0,0,0,0,0,53382000,55493000,51843000,52253000,56127000,0,0,0,0,0,68229000,68173000,58862000,61680000,70858000
"augustus_masked-scaffold530-size80273-abinit-gene-0.6-mRNA-1","FBgn0197501","FBgn0028984","GJ10214","Sfp",17,101770000,93481000,99628000,92198000,92118000,85585000,84623000,91418000,92880000,102460000,99432000,108240000,79305000,88346000,97127000,137570000,124720000,95845000,90753000,123420000
"augustus_masked-scaffold533-size168304-abinit-gene-1.11-mRNA-1","FBgn0210855","FBgn0039321","GJ23758",NA,5,0,0,0,0,0,5222900,5512300,4865800,5471300,5612300,0,0,0,0,0,6115700,7116500,5952700,5183400,9712400
"augustus_masked-scaffold533-size168304-abinit-gene-1.5-mRNA-1","FBgn0210861","FBgn0027095","GJ23764","Sfp",7,117110000,86604000,94041000,92890000,94601000,29824000,26355000,30646000,26372000,32717000,126840000,100070000,141800000,121250000,99192000,36785000,31348000,39671000,37836000,37446000
"augustus_masked-scaffold546-size128109-abinit-gene-0.17-mRNA-1","FBgn0205358","FBgn0263852","GJ18193",NA,4,42204000,33051000,43797000,44827000,41163000,9142700,6140300,9913900,8872900,11588000,45119000,35744000,58389000,59052000,48270000,10122000,10038000,13173000,14966000,9677600
"augustus_masked-scaffold54-size515352-abinit-gene-2.6-mRNA-1","FBgn0209931","FBgn0025456","GJ22827","Sfp",6,36530000,71033000,49097000,43822000,95596000,61388000,79528000,102830000,121170000,98501000,53216000,39079000,12540000,15118000,77087000,90894000,90824000,113410000,106280000,141770000
"augustus_masked-scaffold54-size515352-abinit-gene-2.7-mRNA-1","FBgn0211509","FBgn0028992","GJ24429",NA,4,0,0,9589700,0,11487000,9910600,0,0,0,11216000,9923000,10216000,9380100,10575000,11381000,10705000,11123000,12969000,11035000,11946000
"augustus_masked-scaffold552-size99604-abinit-gene-0.8-mRNA-1","FBgn0210606","FBgn0260741","GJ23508",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770460,0
"augustus_masked-scaffold554-size94956-abinit-gene-0.0-mRNA-1","FBgn0204662","FBgn0267378","GJ17492",NA,5,24377000,22683000,26071000,24834000,24323000,4185300,5043400,0,0,4872000,20857000,12567000,10411000,9349400,24002000,4206800,6781000,11082000,10276000,12546000
"augustus_masked-scaffold555-size70915-abinit-gene-0.1-mRNA-1","FBgn0209877","FBgn0039580","GJ22773",NA,22,117480000,112500000,117490000,103550000,128400000,27104000,24675000,39027000,37208000,39100000,122330000,122600000,150230000,152300000,157840000,40511000,46655000,55874000,52069000,65421000
"augustus_masked-scaffold56122-size266-abinit-gene-0.0-mRNA-1",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429960,0,0
"augustus_masked-scaffold567-size50249-abinit-gene-0.11-mRNA-1","FBgn0199202","FBgn0263106","GJ11949",NA,7,6164600,0,5415500,6611600,6183500,7749700,10625000,7186700,6449000,8931700,6072900,0,5818100,5559300,6723400,8088100,8166900,8731600,10227000,8804500
"augustus_masked-scaffold567-size50249-abinit-gene-0.9-mRNA-1","FBgn0199201","FBgn0035630","GJ11948","Sfp",12,127520000,134390000,131970000,143880000,138150000,50803000,56195000,53259000,51141000,46869000,129890000,143210000,145040000,144610000,137860000,50728000,53484000,58128000,54519000,44141000
"augustus_masked-scaffold569-size233608-abinit-gene-0.0-mRNA-1",NA,NA,NA,NA,2,7360200,0,0,4972400,0,26927000,17335000,0,0,13347000,0,0,6606300,0,0,21839000,15706000,22764000,15324000,14622000
"augustus_masked-scaffold56-size75054-abinit-gene-0.6-mRNA-1","FBgn0203463","FBgn0032453","GJ16279",NA,6,46542000,64442000,58688000,48789000,70772000,38197000,37493000,54956000,67076000,43726000,35181000,39858000,43101000,39986000,43647000,46337000,62015000,45237000,49059000,68301000
"augustus_masked-scaffold574-size57601-abinit-gene-0.12-mRNA-1","FBgn0207219","FBgn0033460","GJ20078",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244100
"augustus_masked-scaffold575-size40633-abinit-gene-0.5-mRNA-1","FBgn0204865","FBgn0032640","GJ17696",NA,11,36041000,33318000,40624000,41386000,38904000,27851000,26297000,34399000,31512000,28870000,41301000,46438000,54417000,49942000,43220000,25785000,26679000,27703000,31190000,32905000
"augustus_masked-scaffold578-size84540-abinit-gene-0.1-mRNA-1","FBgn0205474","FBgn0040070","GJ18315",NA,3,7594500,5948000,10979000,12840000,11744000,10701000,11140000,13636000,11977000,28935000,11161000,10032000,21832000,22918000,16835000,9851000,8977900,20644000,19064000,16891000
"augustus_masked-scaffold588-size51467-abinit-gene-0.3-mRNA-1",NA,NA,NA,NA,2,0,0,0,13662000,0,14972000,16516000,10350000,12893000,17939000,0,0,0,8535400,0,13286000,14598000,13488000,15499000,15357000
"augustus_masked-scaffold592-size95642-abinit-gene-0.6-mRNA-1","FBgn0210060","FBgn0038834","GJ22957",NA,2,20513000,0,0,0,0,34443000,34852000,0,0,0,0,0,0,0,0,41870000,47443000,33208000,36060000,25759000
"augustus_masked-scaffold599-size167612-abinit-gene-0.2-mRNA-1","FBgn0200799","FBgn0000115","GJ13575",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193600000
"augustus_masked-scaffold600-size123458-abinit-gene-0.7-mRNA-1","FBgn0210599","FBgn0037370","GJ23501",NA,9,18284000,20211000,23033000,20655000,18325000,29689000,27326000,35186000,35059000,35405000,18518000,29266000,18093000,0,19251000,25806000,33161000,25289000,23947000,32006000
"augustus_masked-scaffold602-size52133-abinit-gene-0.2-mRNA-1","FBgn0200311","FBgn0011787","GJ13083",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6892900,8370400,0
"augustus_masked-scaffold604-size86851-abinit-gene-0.2-mRNA-1","FBgn0209858","FBgn0027654","GJ22754",NA,2,6391500,5689900,6977500,6839300,6006400,0,4026100,0,0,0,6849000,0,5933100,5716100,5992000,0,0,0,0,0
"augustus_masked-scaffold605-size84065-abinit-gene-0.0-mRNA-1","FBgn0208780","FBgn0033679","GJ21661",NA,5,9137000,9224500,0,8075500,9107300,8028300,6881600,8330200,6906400,8299700,7536300,0,8308200,8408800,9170100,9922300,6793800,7445300,6351100,9851900
"augustus_masked-scaffold612-size60246-abinit-gene-0.1-mRNA-1","FBgn0198330","FBgn0265262","GJ11069",NA,3,0,0,0,0,0,0,4626700,5917300,0,0,0,0,0,0,0,0,0,0,0,0
"augustus_masked-scaffold619-size47927-abinit-gene-0.0-mRNA-1","FBgn0211741","FBgn0038983","GJ24664",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3555800
"augustus_masked-scaffold620-size95113-abinit-gene-0.2-mRNA-1","FBgn0211761","FBgn0039300","GJ24684",NA,4,88749000,63606000,60811000,65289000,60101000,42972000,43142000,40984000,44803000,42528000,73727000,71371000,68608000,84061000,75392000,56581000,51690000,44736000,40147000,28506000
"augustus_masked-scaffold624-size103714-abinit-gene-0.9-mRNA-1","FBgn0201141","FBgn0036780","GJ13923","Sec",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998400,0,0
"augustus_masked-scaffold635-size71370-abinit-gene-0.6-mRNA-1","FBgn0204944","FBgn0002593","GJ17775",NA,4,429510000,412370000,381130000,375310000,367350000,366030000,371780000,267010000,320250000,281270000,421800000,507880000,441600000,424780000,447030000,314740000,359450000,263720000,254840000,169760000
"augustus_masked-scaffold63894-size229-abinit-gene-0.0-mRNA-1","FBgn0201494","FBgn0040077","GJ14279",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6979600
"augustus_masked-scaffold647-size97846-abinit-gene-0.3-mRNA-1","FBgn0197888","FBgn0039674","GJ10609",NA,6,0,0,8327300,7937200,8027800,7035100,4999600,6143100,6962600,14919000,7855700,0,7138200,9994600,0,6783600,10562000,10475000,9742400,11600000
"augustus_masked-scaffold64-size80207-abinit-gene-0.5-mRNA-1","FBgn0201696","FBgn0000454","GJ14485",NA,12,54879000,31506000,41332000,43064000,28983000,15407000,14881000,15396000,16472000,18657000,36755000,40585000,35499000,33973000,26434000,19432000,20572000,12760000,14166000,18738000
"augustus_masked-scaffold654-size41495-abinit-gene-0.1-mRNA-1","FBgn0201124","FBgn0036237","GJ13906",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949500,0
"augustus_masked-scaffold660-size34706-abinit-gene-0.4-mRNA-1","FBgn0207453","FBgn0034756","GJ20313","Sec",3,0,0,0,7349700,5942300,3901000,0,0,0,4575200,0,0,0,0,0,0,0,0,0,0
"augustus_masked-scaffold668-size56010-abinit-gene-0.2-mRNA-1","FBgn0207652","FBgn0010638","GJ20512",NA,3,29908000,15059000,26562000,28278000,29876000,7664500,6913200,10021000,9242400,18427000,24336000,21804000,35190000,31361000,34177000,9459000,7692200,11262000,17518000,10151000
"augustus_masked-scaffold668-size56010-abinit-gene-0.6-mRNA-1","FBgn0208939","FBgn0034258","GJ21821",NA,16,57972000,68949000,46327000,48816000,49427000,25812000,26039000,31479000,36468000,39355000,48555000,63798000,55813000,64275000,52873000,33900000,46701000,45814000,47580000,30337000
"augustus_masked-scaffold669-size102525-abinit-gene-0.14-mRNA-1","FBgn0200093","FBgn0035438","GJ12858","Sec",6,82455000,65403000,52287000,64613000,56405000,122660000,119520000,117900000,123300000,135460000,79825000,76232000,74762000,66593000,72821000,131920000,110990000,107700000,118260000,143710000
"augustus_masked-scaffold66-size131750-abinit-gene-1.1-mRNA-1","FBgn0200654","FBgn0034472","GJ13429",NA,3,11500000,11783000,11292000,18056000,10474000,36083000,43062000,62405000,60695000,37957000,13507000,12445000,10800000,9252600,7972200,42516000,38522000,28341000,33857000,39053000
"augustus_masked-scaffold675-size149168-abinit-gene-0.2-mRNA-1","FBgn0198278","FBgn0037312","GJ11011","Sec",6,56140000,29442000,40694000,25227000,23288000,4826500,3896800,8527200,3640400,12114000,54349000,33138000,76604000,74662000,76511000,8281600,6963200,9242200,0,8206900
"augustus_masked-scaffold676-size113905-abinit-gene-0.6-mRNA-1","FBgn0211174","FBgn0019960","GJ24089",NA,12,22580000,18341000,21826000,17651000,15466000,49277000,49793000,51222000,45103000,47643000,22877000,19487000,22449000,28899000,16126000,48806000,48574000,43542000,40896000,39408000
"augustus_masked-scaffold682-size135829-abinit-gene-0.3-mRNA-1","FBgn0209457","FBgn0034708","GJ22344",NA,3,0,0,0,0,0,0,3045300,3151900,0,3628200,0,0,0,0,0,3108600,0,3359300,4167000,3153600
"augustus_masked-scaffold69-size55367-abinit-gene-0.2-mRNA-1","FBgn0197644","FBgn0037356","GJ10359",NA,3,5574000,0,4954500,4149800,6099600,6146400,5565500,0,9138300,4981400,5832700,3731700,0,2989600,0,0,0,0,4162000,0
"augustus_masked-scaffold705-size46667-abinit-gene-0.3-mRNA-1","FBgn0209226","FBgn0035032","GJ22112",NA,6,51702000,38715000,40876000,42423000,38901000,68608000,60496000,42016000,45925000,49108000,51178000,47676000,51405000,50621000,32442000,49113000,46740000,45473000,46489000,28610000
"augustus_masked-scaffold715-size109724-abinit-gene-0.3-mRNA-1","FBgn0197748","FBgn0039537","GJ10468",NA,15,12663000,6578200,7537800,7231400,5109300,133390000,141870000,82792000,75580000,54797000,0,0,11038000,0,0,70584000,116010000,78980000,102770000,130590000
"augustus_masked-scaffold71-size201782-abinit-gene-0.3-mRNA-1","FBgn0200975","FBgn0024814","GJ13754",NA,5,13067000,13735000,13976000,12855000,13303000,23558000,29502000,18137000,38866000,24087000,13037000,16162000,9438800,11543000,11807000,22369000,23289000,14687000,15326000,20909000
"augustus_masked-scaffold720-size40553-abinit-gene-0.5-mRNA-1","FBgn0206486","FBgn0030791","GJ19342",NA,3,0,9603100,0,0,0,5026600,0,4319100,0,0,0,0,5149700,0,0,0,0,0,0,0
"augustus_masked-scaffold725-size86408-abinit-gene-0.2-mRNA-1","FBgn0200381","FBgn0035593","GJ13154",NA,3,0,0,0,0,0,5935200,5374500,6124000,6364600,5193500,0,0,0,0,0,5828300,5067300,4332400,4160200,5666600
"augustus_masked-scaffold725-size86408-abinit-gene-0.7-mRNA-1","FBgn0199459","FBgn0035588","GJ12209",NA,4,0,0,4797600,0,0,8872700,10036000,9207300,8994900,9723800,0,0,4179400,4729400,0,10676000,10341000,10130000,11264000,17433000
"augustus_masked-scaffold725-size86408-abinit-gene-0.9-mRNA-1","FBgn0199458","FBgn0035586","GJ12208",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1797400,0,0,0
"augustus_masked-scaffold728-size64119-abinit-gene-0.1-mRNA-1","FBgn0208716","FBgn0002787","GJ21597",NA,6,0,21380000,23989000,28843000,20944000,34678000,34934000,28472000,24787000,22976000,22726000,21464000,23436000,17169000,16574000,24118000,30020000,24322000,23563000,19784000
"augustus_masked-scaffold733-size64302-abinit-gene-0.5-mRNA-1","FBgn0198297","FBgn0259974","GJ11030","Sfp",2,20509000,0,55717000,51352000,100350000,0,0,0,0,0,17940000,13633000,52750000,50843000,72833000,0,0,0,0,0
"augustus_masked-scaffold73-size162265-abinit-gene-0.0-mRNA-1","FBgn0209900","FBgn0002645","GJ22796",NA,5,0,0,0,0,0,14597000,13761000,19562000,18089000,33339000,0,0,0,0,0,29452000,28012000,23752000,26462000,32167000
"augustus_masked-scaffold73-size162265-abinit-gene-0.1-mRNA-1","FBgn0211546","FBgn0002780","GJ24466",NA,11,36036000,48200000,33997000,37187000,29274000,16882000,16524000,19748000,14245000,20503000,39575000,37610000,42763000,43566000,37311000,21223000,17064000,20536000,18062000,14094000
"augustus_masked-scaffold743-size46758-abinit-gene-0.2-mRNA-1","FBgn0200944","FBgn0266452","GJ13723",NA,4,4926400,4372400,5231400,0,0,0,0,0,0,0,5219400,0,0,11170000,0,0,0,0,0,0
"augustus_masked-scaffold74-size76869-abinit-gene-0.3-mRNA-1","FBgn0197978","FBgn0046114","GJ10701",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2575300
"augustus_masked-scaffold752-size78514-abinit-gene-0.9-mRNA-1","FBgn0201588","FBgn0039024","GJ14375","Sec",6,0,0,0,0,0,7238500,7621900,7817900,4002800,5800700,0,0,0,0,0,3818100,3147700,4040200,3640100,3719400
"augustus_masked-scaffold767-size38107-abinit-gene-0.10-mRNA-1","FBgn0198142","FBgn0031497","GJ10873",NA,18,74797000,57754000,84012000,83391000,70022000,55111000,64493000,69274000,61242000,67352000,83448000,84552000,88174000,74581000,86784000,65301000,66750000,60807000,70544000,81013000
"augustus_masked-scaffold767-size38107-abinit-gene-0.2-mRNA-1","FBgn0203668","FBgn0030640","GJ16484",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2252500,0
"augustus_masked-scaffold76-size137588-abinit-gene-0.0-mRNA-1","FBgn0198188","FBgn0086372","GJ10920",NA,2,0,0,0,0,0,6439400,6016700,0,5544500,0,0,0,0,0,0,6025500,0,8851900,0,8034000
"augustus_masked-scaffold76-size137588-abinit-gene-1.8-mRNA-1","FBgn0198173","FBgn0037709","GJ10905",NA,13,0,0,0,0,0,36615000,36731000,47472000,52440000,40838000,0,0,15686000,11869000,0,45990000,43728000,45838000,68057000,37227000
"augustus_masked-scaffold772-size62188-abinit-gene-0.2-mRNA-1","FBgn0207296","FBgn0003660","GJ20156",NA,2,11257000,8583500,9263300,8847400,7369200,13397000,13815000,9167500,8740400,10749000,0,9214300,8673800,7870000,7235600,11440000,12229000,10332000,10397000,9316100
"augustus_masked-scaffold773-size51444-abinit-gene-0.4-mRNA-1","FBgn0208925","FBgn0284255","GJ21807",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265800,0,0
"augustus_masked-scaffold77-size314389-abinit-gene-1.13-mRNA-1","FBgn0210872","FBgn0015781","GJ23775",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1943500,0
"augustus_masked-scaffold783-size78001-abinit-gene-0.8-mRNA-1","FBgn0200081","FBgn0041630","GJ12846","Sec",4,6618300,12138000,10063000,7910100,9614900,0,0,0,0,0,6808400,0,6570000,8693500,10028000,0,0,0,0,0
"augustus_masked-scaffold786-size57107-abinit-gene-0.11-mRNA-1","FBgn0203156","FBgn0031037","GJ15970",NA,8,84510000,87098000,91899000,85738000,81196000,896340000,998700000,1203700000,1230300000,963710000,84804000,85678000,85001000,73447000,74133000,873100000,1036900000,852270000,836420000,1174800000
"augustus_masked-scaffold786-size57107-abinit-gene-0.4-mRNA-1","FBgn0202794","FBgn0040087","GJ15604",NA,9,9388100,0,9522600,7661200,11784000,4415400,0,0,5020900,6330300,7872500,7823100,14112000,9510600,10681000,5388000,8192000,9334000,7525500,6454100
"augustus_masked-scaffold786-size57107-abinit-gene-0.5-mRNA-1","FBgn0203161","FBgn0261592","GJ15976",NA,7,98406000,75342000,77533000,93322000,79501000,32151000,30638000,28400000,38151000,48802000,60068000,53837000,108620000,113740000,83424000,49251000,39382000,62325000,61923000,31521000
"augustus_masked-scaffold787-size133522-abinit-gene-1.1-mRNA-1","FBgn0210357","FBgn0020910","GJ23255",NA,10,92628000,81474000,75880000,55832000,68636000,59387000,48181000,69060000,73640000,74542000,59461000,51234000,103350000,105490000,75989000,76574000,71411000,81442000,80683000,45808000
"augustus_masked-scaffold789-size114743-abinit-gene-0.2-mRNA-1","FBgn0197980","FBgn0039241","GJ10703",NA,8,19308000,19915000,17574000,18441000,16204000,11626000,11048000,18055000,17466000,15893000,22196000,17005000,23540000,29078000,21157000,15707000,14789000,17624000,13620000,17628000
"augustus_masked-scaffold78-size155304-abinit-gene-0.21-mRNA-1","FBgn0205111","FBgn0005593","GJ17944",NA,8,93681000,68287000,68951000,63309000,54107000,78939000,66923000,74508000,85689000,86649000,42170000,33785000,1.06e+08,111400000,80687000,111390000,108610000,99244000,97135000,54839000
"augustus_masked-scaffold792-size56082-abinit-gene-0.9-mRNA-1","FBgn0197609","FBgn0024432","GJ10323",NA,3,0,0,4151000,0,0,7396300,6556100,7478900,9274300,7620000,0,0,0,0,0,7930500,6530700,8066800,8923200,7718500
"augustus_masked-scaffold7-size116099-abinit-gene-1.2-mRNA-1","FBgn0207696","FBgn0283450","GJ20556",NA,11,50771000,86538000,63237000,70494000,87759000,43303000,52289000,47109000,45440000,71379000,52708000,66506000,68664000,70500000,80937000,43863000,47384000,59325000,58679000,64939000
"augustus_masked-scaffold803-size150050-abinit-gene-0.10-mRNA-1","FBgn0198630","FBgn0036762","GJ11371",NA,15,73115000,93734000,49625000,50133000,60802000,200560000,233560000,191080000,182470000,167620000,60817000,65501000,53204000,52403000,58112000,180010000,239680000,180010000,178090000,216780000
"augustus_masked-scaffold811-size79825-abinit-gene-0.6-mRNA-1","FBgn0200707","FBgn0260857","GJ13483",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3120100
"augustus_masked-scaffold816-size43203-abinit-gene-0.4-mRNA-1","FBgn0200049","FBgn0259243","GJ12814",NA,3,7665000,7096600,8126000,7030500,9045700,9678000,9451200,11848000,8969400,9902000,7453500,0,5374100,0,0,8694000,8884500,13567000,8687100,10808000
"augustus_masked-scaffold81-size59853-abinit-gene-0.1-mRNA-1","FBgn0209293","FBgn0014028","GJ22180",NA,8,20613000,20758000,21233000,18901000,18676000,39307000,41074000,29153000,28887000,24820000,23776000,23847000,22214000,22163000,22200000,24406000,28409000,24685000,24693000,22485000
"augustus_masked-scaffold824-size80661-abinit-gene-0.6-mRNA-1","FBgn0198984","FBgn0036111","GJ11730",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309000
"augustus_masked-scaffold835-size105273-abinit-gene-0.10-mRNA-1","FBgn0199005","FBgn0052485","GJ11751",NA,3,0,0,0,0,0,4115600,4199900,4601300,0,5757900,0,0,0,0,0,0,5801100,6299900,5167900,15639000
"augustus_masked-scaffold845-size43869-abinit-gene-0.0-mRNA-1","FBgn0204690","FBgn0262782","GJ17520",NA,18,166670000,194580000,161290000,165870000,162960000,388820000,380090000,502590000,503470000,4.8e+08,213640000,229900000,189070000,199610000,216200000,498640000,526590000,430170000,458240000,618500000
"augustus_masked-scaffold845-size43869-abinit-gene-0.1-mRNA-1",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208700,0
"augustus_masked-scaffold84-size126804-abinit-gene-1.1-mRNA-1","FBgn0210237","FBgn0039697","GJ23135",NA,16,53201000,52774000,58615000,57259000,46478000,170970000,1.8e+08,220820000,221310000,201200000,56989000,45668000,43060000,49595000,32194000,184470000,178810000,156860000,155110000,184740000
"augustus_masked-scaffold852-size125918-abinit-gene-0.1-mRNA-1","FBgn0203084",NA,"GJ15897",NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8019700,0
"augustus_masked-scaffold853-size103824-abinit-gene-0.1-mRNA-1","FBgn0207393","FBgn0087002","GJ20253",NA,15,0,0,0,0,0,7310700,7120800,37323000,28027000,20286000,0,0,0,0,0,9568000,11276000,7109800,10957000,30192000
"augustus_masked-scaffold855-size58795-abinit-gene-0.0-mRNA-1","FBgn0206035","FBgn0041629","GJ18889","Sfp",10,15007000,0,0,15733000,0,21444000,16633000,18117000,15732000,27304000,0,0,19677000,0,0,25121000,20344000,24572000,24215000,26946000
"augustus_masked-scaffold855-size58795-abinit-gene-0.2-mRNA-1","FBgn0206037","FBgn0025637","GJ18891",NA,3,3571700,0,5323500,0,5134300,6716300,6182700,0,4479500,12544000,6751600,0,8515200,8697000,7148200,7818500,6679400,9096900,11269000,10476000
"augustus_masked-scaffold855-size58795-abinit-gene-0.9-mRNA-1","FBgn0206042","FBgn0030102","GJ18896",NA,7,0,10405000,0,0,0,25060000,14210000,17897000,25497000,26298000,0,0,0,0,7558400,11336000,10090000,12800000,13550000,17266000
"augustus_masked-scaffold85-size102739-abinit-gene-0.6-mRNA-1","FBgn0211309","FBgn0064126","GJ24227",NA,4,0,0,0,0,0,4624100,4464500,0,3831700,4086800,0,0,0,0,0,4431600,5016200,3709300,0,0
"augustus_masked-scaffold8627-size10475-abinit-gene-0.0-mRNA-1","FBgn0210628","FBgn0053868","GJ23530",NA,5,235130000,206830000,190720000,190130000,168230000,213070000,236600000,135700000,140680000,103790000,166450000,189460000,212260000,211480000,180640000,151280000,164990000,144950000,143170000,87286000
"augustus_masked-scaffold864-size87323-abinit-gene-0.4-mRNA-1","FBgn0198749","FBgn0036300","GJ11491",NA,10,40962000,33417000,53853000,44563000,44092000,28796000,33427000,29650000,27876000,38805000,58693000,44010000,59305000,62894000,58488000,35639000,31373000,38297000,33872000,40475000
"augustus_masked-scaffold870-size118458-abinit-gene-0.8-mRNA-1","FBgn0202406","FBgn0040340","GJ15210",NA,2,40524000,37790000,8076400,8586500,6486200,0,0,6865500,5995800,0,14682000,14137000,0,9145600,0,0,0,0,0,0
"augustus_masked-scaffold874-size84827-abinit-gene-0.1-mRNA-1","FBgn0016403","FBgn0000044","GJ10425",NA,0,167180000,122020000,90939000,84292000,55015000,284640000,214520000,70020000,60630000,68889000,60408000,52931000,71674000,62554000,59804000,67311000,67365000,67135000,65060000,7.8e+07
"augustus_masked-scaffold87-size92257-abinit-gene-0.12-mRNA-1","FBgn0199313","FBgn0010387","GJ12061",NA,5,0,0,0,0,0,245480000,398800000,256280000,352910000,221800000,0,0,0,0,0,84592000,79317000,35203000,32322000,90342000
"augustus_masked-scaffold887-size45528-abinit-gene-0.6-mRNA-1","FBgn0198327","FBgn0037543","GJ11066",NA,1,0,0,0,0,0,0,0,0,15130000,0,0,0,0,0,0,0,0,0,0,0
"augustus_masked-scaffold88-size177456-abinit-gene-1.8-mRNA-1","FBgn0199068","FBgn0036213","GJ11814",NA,10,199620000,219610000,222390000,205640000,200900000,171230000,178550000,146700000,161980000,140380000,217220000,218020000,238540000,236800000,228760000,149590000,170350000,185860000,142260000,95801000
"augustus_masked-scaffold894-size33197-abinit-gene-0.2-mRNA-1","FBgn0202505","FBgn0030975","GJ15311",NA,2,0,0,0,0,0,6035700,0,0,7188400,6332500,0,0,0,0,0,0,0,0,0,5352000
