"PROTEIN","ID","Gene","t","N","S","dN.dS","dN","dS","N.dN","S.dS"
"maker-scaffold68-size241440-augustus-gene-2.16-mRNA-1","03802","3802",0.039,1226.4,369.6,0.0756,0.0034,0.045,4.2,16.6
"maker-scaffold68-size241440-augustus-gene-2.22-mRNA-1","03807","3807",0.042,1432.4,427.6,0.0987,0.0045,0.0455,6.4,19.4
"maker-scaffold68-size241440-snap-gene-2.27-mRNA-1","03808","3808",0.077,1316.4,324.6,0.0805,0.0079,0.0978,10.4,31.8
"maker-scaffold2017-size10821-augustus-gene-0.2-mRNA-1","03809","3809",0.115,1126.1,307.9,0.0285,0.0046,0.1622,5.2,49.9
"maker-scaffold5886-size2334-snap-gene-0.3-mRNA-1","03817","3817",0.083,963.6,269.4,0.061,0.0063,0.1042,6.1,28.1
"maker-scaffold2451-size33360-augustus-gene-0.8-mRNA-1","03820","3820",0.051,1008.9,302.1,0.0253,0.0017,0.0674,1.7,20.4
"maker-scaffold2086-size18181-augustus-gene-0.8-mRNA-1","03824","3824",0.062,848.8,219.2,0.0629,0.0051,0.0806,4.3,17.7
"maker-scaffold2086-size18181-augustus-gene-0.6-mRNA-1","03826","3826",0.026,1483.1,448.9,0.0784,0.0023,0.0298,3.5,13.4
"snap_masked-scaffold3681-size24705-abinit-gene-0.2-mRNA-1","03831","3831",0.14,864.1,239.9,0.1365,0.0197,0.1443,17,34.6
"augustus_masked-scaffold693-size59345-abinit-gene-0.0-mRNA-1","03834","3834",0.126,2160.3,503.7,0.0781,0.013,0.167,28.2,84.1
"maker-scaffold150-size92387-augustus-gene-0.21-mRNA-1","03836","3836",0.081,1515.8,443.2,0.0283,0.0031,0.109,4.7,48.3
"maker-scaffold150-size92387-snap-gene-0.31-mRNA-1","03837","3837",0.032,1920.6,650.4,0.0393,0.0015,0.0374,2.8,24.3
"augustus_masked-scaffold150-size92387-abinit-gene-0.0-mRNA-1","03838","3838",0.079,580.5,196.5,0.0671,0.0058,0.0865,3.4,17
"maker-scaffold150-size92387-snap-gene-0.35-mRNA-1","03839","3839",0.113,2111.7,654.3,0.0729,0.0094,0.1289,19.8,84.4
"snap_masked-scaffold150-size92387-abinit-gene-0.10-mRNA-1","03840","3840",0.005,901,215,0.0066,1e-04,0.009,0.1,1.9
"maker-scaffold150-size92387-augustus-gene-0.25-mRNA-1","03845","3845",0.054,834.5,281.5,0.097,0.0054,0.0558,4.5,15.7
"augustus_masked-scaffold953-size64119-abinit-gene-0.7-mRNA-1","03847","3847",0.169,603.2,146.8,0.1755,0.0293,0.1672,17.7,24.5
"augustus_masked-scaffold953-size64119-abinit-gene-0.3-mRNA-1","03848","3848",0.065,1468.5,448.5,0.0572,0.0045,0.0785,6.6,35.2
"maker-scaffold953-size64119-snap-gene-0.25-mRNA-1","03851","3851",0.046,665.5,243.5,0.0669,0.0033,0.0489,2.2,11.9
"maker-scaffold3351-size6851-snap-gene-0.1-mRNA-1","03855","3855",0.061,613.2,160.8,0.0217,0.002,0.0903,1.2,14.5
"augustus_masked-scaffold1389-size104396-abinit-gene-0.0-mRNA-1","03857","3857",0.178,451.3,100.7,0.1,0.0225,0.2246,10.1,22.6
"maker-scaffold129-size187042-augustus-gene-1.36-mRNA-1","03868","3868",0.13,876.9,311.1,0.034,0.0051,0.151,4.5,47
"maker-scaffold129-size187042-snap-gene-1.52-mRNA-1","03869","3869",0.061,756.2,245.8,0.0511,0.0037,0.0715,2.8,17.6
"maker-scaffold129-size187042-augustus-gene-1.33-mRNA-1","03870","3870",0.07,931.4,193.6,0.0167,0.0021,0.1255,2,24.3
"maker-scaffold129-size187042-snap-gene-1.50-mRNA-1","03871","3871",0.093,1206.7,362.3,0.0543,0.0062,0.1142,7.5,41.4
"augustus_masked-scaffold129-size187042-abinit-gene-1.10-mRNA-1","03873","3873",0.089,648.9,194.1,0.0136,0.0017,0.1226,1.1,23.8
"augustus_masked-scaffold129-size187042-abinit-gene-1.2-mRNA-1","03874","3874",0.076,346.5,121.5,0.1703,0.0112,0.0659,3.9,8
"maker-scaffold129-size187042-augustus-gene-1.39-mRNA-1","03875","3875",0.094,950.6,309.4,0.0303,0.0035,0.1163,3.3,36
"maker-scaffold129-size187042-augustus-gene-1.45-mRNA-1","03881","3881",0.04,663,192,0.0837,0.0039,0.0464,2.6,8.9
"augustus_masked-scaffold129-size187042-abinit-gene-1.14-mRNA-1","03882","3882",0.036,466.3,115.7,0.0582,0.0028,0.0488,1.3,5.6
"maker-scaffold2484-size39554-snap-gene-0.23-mRNA-1","03885","3885",0.136,600.4,155.6,0.0765,0.013,0.1697,7.8,26.4
"maker-scaffold2484-size39554-augustus-gene-0.14-mRNA-1","03886","3886",0.086,177.7,47.3,0.0441,0.0052,0.1172,0.9,5.5
"maker-scaffold2484-size39554-augustus-gene-0.18-mRNA-1","03888","3888",0.076,869.2,246.8,0.1221,0.0098,0.08,8.5,19.7
"snap_masked-scaffold1997-size37267-abinit-gene-0.8-mRNA-1","03895","3895",0.036,1250,388,0.1265,0.0046,0.0361,5.7,14
"augustus_masked-scaffold3879-size4727-abinit-gene-0.1-mRNA-1","03901","3901",0.029,102.3,35.7,0.0082,3e-04,0.036,0,1.3
"maker-scaffold12-size171406-augustus-gene-0.17-mRNA-1","03905","3905",0.171,1278,435,0.0467,0.0092,0.197,11.8,85.7
"maker-scaffold12-size171406-snap-gene-0.20-mRNA-1","03907","3907",0.065,226.8,100.2,0.111,0.0062,0.0562,1.4,5.6
"maker-scaffold2590-size8123-snap-gene-0.8-mRNA-1","03916","3916",0.143,1599.1,371.9,0.1578,0.0237,0.1503,37.9,55.9
"maker-scaffold100-size97533-snap-gene-0.13-mRNA-1","03919","3919",0.039,616.8,193.2,0.0515,0.0024,0.0463,1.5,8.9
"augustus_masked-scaffold2700-size18367-abinit-gene-0.0-mRNA-1","03920","3920",0.045,149.7,54.3,0.0641,0.003,0.0474,0.5,2.6
"maker-scaffold1230-size59937-augustus-gene-0.13-mRNA-1","03924","3924",0.147,1385.7,414.3,0.0862,0.0143,0.1656,19.8,68.6
"augustus_masked-scaffold1230-size59937-abinit-gene-0.4-mRNA-1","03925","3925",0.134,676.2,172.8,0.0945,0.0151,0.1602,10.2,27.7
"maker-scaffold1230-size59937-snap-gene-0.20-mRNA-1","03928","3928",0.053,643.6,172.4,0.0228,0.0017,0.0768,1.1,13.2
"maker-scaffold376-size39858-augustus-gene-0.4-mRNA-1","03933","3933",0.06,1211.5,426.5,0.1623,0.0085,0.0525,10.3,22.4
"maker-scaffold376-size39858-augustus-gene-0.5-mRNA-1","03934","3934",0.165,862.7,259.3,0.0821,0.0154,0.1873,13.3,48.6
"augustus_masked-scaffold266-size117996-abinit-gene-0.1-mRNA-1","03937","3937",0.034,990.7,323.3,0.0635,0.0025,0.0391,2.5,12.6
"maker-scaffold266-size117996-augustus-gene-1.4-mRNA-1","03939","3939",0.228,287.8,99.2,0.152,0.0312,0.2054,9,20.4
"augustus_masked-scaffold266-size117996-abinit-gene-1.1-mRNA-1","03941","3941",0.106,1583.7,501.3,0.0572,0.0071,0.1243,11.3,62.3
"snap_masked-scaffold284-size104229-abinit-gene-0.14-mRNA-1","03946","3946",0.041,622.2,199.8,0.082,0.0037,0.045,2.3,9
"maker-scaffold284-size104229-augustus-gene-0.25-mRNA-1","03947","3947",0.053,1007.3,333.7,0.1609,0.0076,0.0474,7.7,15.8
"augustus_masked-scaffold284-size104229-abinit-gene-0.0-mRNA-1","03948","3948",0.089,921.9,272.1,0.0748,0.0078,0.1041,7.2,28.3
"maker-scaffold284-size104229-snap-gene-0.30-mRNA-1","03953","3953",0.08,675,231,0.4057,0.0193,0.0476,13,11
"maker-scaffold1759-size12874-augustus-gene-0.12-mRNA-1","03954","3954",0.106,1364.9,429.1,0.0144,0.002,0.1414,2.8,60.7
"augustus_masked-scaffold1759-size12874-abinit-gene-0.1-mRNA-1","03955","3955",0.12,1068.5,347.5,0.0859,0.0111,0.1291,11.8,44.9
"maker-scaffold1759-size12874-augustus-gene-0.11-mRNA-1","03956","3956",0.108,248.1,54.9,0.0298,0.0052,0.1753,1.3,9.6
"augustus_masked-scaffold1759-size12874-abinit-gene-0.2-mRNA-1","03957","3957",0.024,313.6,88.4,0.0173,6e-04,0.0346,0.2,3.1
"maker-scaffold704-size115859-snap-gene-0.28-mRNA-1","03961","3961",0.055,1102.9,364.1,0.0764,0.0046,0.0598,5,21.8
"maker-scaffold704-size115859-augustus-gene-0.23-mRNA-1","03966","3966",0.117,453.7,152.3,0.0913,0.0111,0.1221,5.1,18.6
"augustus_masked-scaffold704-size115859-abinit-gene-0.6-mRNA-1","03967","3967",0.052,599.4,225.6,0.0448,0.0026,0.0571,1.5,12.9
"augustus_masked-scaffold704-size115859-abinit-gene-0.4-mRNA-1","03968","3968",0.094,535.2,205.8,0.0843,0.0078,0.0921,4.2,19
"maker-scaffold704-size115859-augustus-gene-1.15-mRNA-1","03969","3969",0.086,558.2,212.8,0.2,0.0137,0.0684,7.6,14.6
"snap_masked-scaffold704-size115859-abinit-gene-1.12-mRNA-1","03970","3970",0.244,1078.2,331.8,0.159,0.0362,0.2275,39,75.5
"maker-scaffold704-size115859-augustus-gene-1.17-mRNA-1","03973","3973",0.133,497.1,168.9,0.049,0.0075,0.1526,3.7,25.8
"maker-scaffold2666-size34786-augustus-gene-0.3-mRNA-1","03974","3974",0.075,2015.8,615.2,0.0451,0.0042,0.0928,8.4,57.1
"maker-scaffold2748-size18419-augustus-gene-0.8-mRNA-1","03975","3975",0.085,557.3,156.7,0.0793,0.008,0.1008,4.5,15.8
"maker-scaffold2748-size18419-snap-gene-0.14-mRNA-1","03977","3977",0.138,737.1,210.9,0.1225,0.0177,0.1443,13,30.4
"maker-scaffold2748-size18419-augustus-gene-0.9-mRNA-1","03978","3978",0.108,789.8,146.2,0.0166,0.0035,0.2115,2.8,30.9
"maker-scaffold2555-size18341-augustus-gene-0.8-mRNA-1","03982","3982",0.079,699.3,197.7,0.022,0.0024,0.1102,1.7,21.8
"maker-scaffold326-size61495-snap-gene-0.17-mRNA-1","03988","3988",0.055,1046,322,0.1201,0.0067,0.0558,7,18
"augustus_masked-scaffold326-size61495-abinit-gene-0.1-mRNA-1","03989","3989",0.118,384,84,0.135,0.0182,0.1351,7,11.4
"augustus_masked-scaffold326-size61495-abinit-gene-0.5-mRNA-1","03991","3991",0.064,523.5,145.5,0.0464,0.0039,0.0843,2,12.3
"maker-scaffold2104-size44206-augustus-gene-0.3-mRNA-1","03994","3994",0.155,1434,423,0.1431,0.0219,0.153,31.4,64.7
"maker-scaffold80-size88601-augustus-gene-0.18-mRNA-1","03995","3995",0.076,358.4,121.6,0.046,0.0041,0.0883,1.5,10.7
"augustus_masked-scaffold80-size88601-abinit-gene-0.3-mRNA-1","03996","3996",0.126,1710.1,593.9,0.113,0.0138,0.1226,23.7,72.8
"augustus_masked-scaffold80-size88601-abinit-gene-0.1-mRNA-1","03998","3998",0.111,1011.4,344.6,0.1241,0.0132,0.1066,13.4,36.7
"maker-scaffold80-size88601-snap-gene-0.26-mRNA-1","03999","3999",0.213,1180.2,358.8,0.1184,0.026,0.2192,30.6,78.6
"maker-scaffold80-size88601-augustus-gene-0.22-mRNA-1","04001","4001",0.034,2840.5,924.5,0.0334,0.0014,0.0414,3.9,38.3
"maker-scaffold80-size88601-snap-gene-0.29-mRNA-1","04002","4002",0.072,2425.6,838.4,0.0297,0.0026,0.0865,6.2,72.5
"augustus_masked-scaffold80-size88601-abinit-gene-0.6-mRNA-1","04005","4005",0.213,358,134,0.1293,0.025,0.1934,9,25.9
"augustus_masked-scaffold2098-size46521-abinit-gene-0.4-mRNA-1","04009","4009",0.036,953.8,297.2,0.1084,0.004,0.0372,3.8,11
"maker-scaffold2497-size25774-augustus-gene-0.3-mRNA-1","04010","4010",0.025,384,135,0.055,0.0015,0.0276,0.6,3.7
"augustus_masked-scaffold686-size81408-abinit-gene-0.8-mRNA-1","04012","4012",0.129,524.2,159.8,0.093,0.0131,0.1411,6.9,22.6
"augustus_masked-scaffold686-size81408-abinit-gene-0.4-mRNA-1","04014","4014",0.031,316.7,94.3,0.0243,0.001,0.0422,0.3,4
"maker-scaffold686-size81408-augustus-gene-0.20-mRNA-1","04015","4015",0.046,1322.9,324.1,0.0645,0.004,0.062,5.3,20.1
"maker-scaffold2659-size15821-augustus-gene-0.4-mRNA-1","04020","4020",0.134,1834,362,0.0355,0.0081,0.2298,14.9,83.2
"maker-scaffold2760-size14568-augustus-gene-0.5-mRNA-1","04021","4021",0.017,416.6,153.4,0.0682,0.0012,0.0181,0.5,2.8
"maker-scaffold1376-size40991-snap-gene-0.12-mRNA-1","04025","4025",0.077,1166.1,405.9,0.0142,0.0013,0.0949,1.6,38.5
"maker-scaffold1376-size40991-augustus-gene-0.10-mRNA-1","04027","4027",0.045,795.1,275.9,0.0157,9e-04,0.0555,0.7,15.3
"maker-scaffold229-size122502-augustus-gene-0.17-mRNA-1","04033","4033",0.066,626.5,183.5,0.0556,0.0045,0.0816,2.8,15
"maker-scaffold229-size122502-augustus-gene-1.10-mRNA-1","04039","4039",0.074,2226.9,572.1,0.065,0.0063,0.0962,13.9,55
"maker-scaffold229-size122502-augustus-gene-1.11-mRNA-1","04040","4040",0.107,786.5,260.5,0.1087,0.0117,0.1075,9.2,28
"maker-scaffold229-size122502-augustus-gene-1.13-mRNA-1","04042","4042",0.125,694,161,0.007,0.0015,0.2147,1,34.6
"augustus_masked-scaffold229-size122502-abinit-gene-1.2-mRNA-1","04044","4044",0.07,1260.8,332.2,0.018,0.0019,0.1049,2.4,34.9
"maker-scaffold5374-size2747-snap-gene-0.0-mRNA-1","04048","4048",0.101,420.3,146.7,0.0085,0.0011,0.1275,0.5,18.7
"augustus_masked-scaffold1418-size37622-abinit-gene-0.0-mRNA-1","04052","4052",0.083,947,223,0.1305,0.0122,0.0937,11.6,20.9
"maker-scaffold2619-size15233-augustus-gene-0.4-mRNA-1","04058","4058",0.059,1352.1,387.9,0.0559,0.0042,0.0743,5.6,28.8
"augustus_masked-scaffold188-size140497-abinit-gene-0.4-mRNA-1","04067","4067",0.065,1282.5,358.5,0.0483,0.0041,0.0851,5.3,30.5
"augustus_masked-scaffold188-size140497-abinit-gene-0.2-mRNA-1","04068","4068",0.081,826.1,220.9,0.0206,0.0024,0.1184,2,26.2
"maker-scaffold188-size140497-augustus-gene-0.23-mRNA-1","04069","4069",0.077,773.1,246.9,0.1036,0.0083,0.0803,6.4,19.8
"maker-scaffold188-size140497-augustus-gene-0.22-mRNA-1","04070","4070",0.068,1595.3,429.7,0.0413,0.0038,0.0928,6.1,39.9
"maker-scaffold188-size140497-augustus-gene-0.27-mRNA-1","04073","4073",0.061,968.9,306.1,0.0674,0.0047,0.0699,4.6,21.4
"augustus_masked-scaffold188-size140497-abinit-gene-1.8-mRNA-1","04077","4077",0.085,338,79,0.0674,0.0078,0.1163,2.7,9.2
"augustus_masked-scaffold188-size140497-abinit-gene-1.1-mRNA-1","04078","4078",0.043,1176.4,359.6,0.0262,0.0015,0.0567,1.7,20.4
"maker-scaffold188-size140497-snap-gene-1.35-mRNA-1","04079","4079",0.057,2078.4,501.6,0.0133,0.0012,0.0925,2.6,46.4
"augustus_masked-scaffold188-size140497-abinit-gene-1.5-mRNA-1","04080","4080",0.162,922.2,253.8,0.1376,0.023,0.1673,21.2,42.5
"maker-scaffold188-size140497-augustus-gene-1.27-mRNA-1","04081","4081",0.06,1352.2,399.8,0.0668,0.0048,0.0714,6.4,28.5
"augustus_masked-scaffold188-size140497-abinit-gene-1.4-mRNA-1","04082","4082",0.188,385.4,106.6,0.1258,0.025,0.1988,9.6,21.2
"maker-scaffold188-size140497-augustus-gene-1.32-mRNA-1","04084","4084",0.034,1325.1,405.9,0.0828,0.0031,0.0377,4.1,15.3
"maker-scaffold188-size140497-snap-gene-1.37-mRNA-1","04086","4086",0.025,307.3,97.7,0.1879,0.0042,0.0221,1.3,2.2
"augustus_masked-scaffold188-size140497-abinit-gene-1.2-mRNA-1","04087","4087",0.143,880.9,262.1,0.1138,0.0172,0.1509,15.1,39.5
"maker-scaffold1374-size155254-augustus-gene-0.16-mRNA-1","04090","4090",0.045,4024.7,1450.3,0.064,0.0031,0.0485,12.5,70.3
"maker-scaffold1374-size155254-snap-gene-0.23-mRNA-1","04092","4092",0.049,1294.1,421.9,0.0497,0.0029,0.0573,3.7,24.2
"augustus_masked-scaffold1374-size155254-abinit-gene-0.2-mRNA-1","04094","4094",0.132,210.6,65.4,0.051,0.0081,0.1593,1.7,10.4
"maker-scaffold2122-size24132-snap-gene-0.10-mRNA-1","04104","4104",0.126,878.4,264.6,0.0952,0.0132,0.1382,11.6,36.6
"augustus_masked-scaffold937-size137748-abinit-gene-1.0-mRNA-1","04107","4107",0.014,590.7,162.3,0.082,0.0014,0.0167,0.8,2.7
"augustus_masked-scaffold937-size137748-abinit-gene-1.1-mRNA-1","04108","4108",0.073,675,162,0.0568,0.0058,0.1022,3.9,16.6
"augustus_masked-scaffold2172-size24837-abinit-gene-0.1-mRNA-1","04110","4110",0.072,1358.9,294.1,0.0448,0.005,0.1119,6.8,32.9
"snap_masked-scaffold4423-size8604-abinit-gene-0.1-mRNA-1","04114","4114",0.145,319,131,0.0858,0.0118,0.1371,3.8,18
"snap_masked-scaffold1195-size60843-abinit-gene-0.6-mRNA-1","04118","4118",0.061,130.7,55.3,0.4714,0.0151,0.0321,2,1.8
"augustus_masked-scaffold123-size100118-abinit-gene-0.10-mRNA-1","04120","4120",0.06,212.8,57.2,0.0191,0.0017,0.0887,0.4,5.1
"maker-scaffold123-size100118-augustus-gene-0.30-mRNA-1","04124","4124",0.035,961.8,259.2,0.036,0.0018,0.0488,1.7,12.6
"augustus_masked-scaffold123-size100118-abinit-gene-0.12-mRNA-1","04125","4125",0.064,1063.8,322.2,0.0535,0.0042,0.0781,4.4,25.2
"maker-scaffold123-size100118-augustus-gene-0.32-mRNA-1","04126","4126",0.048,436.4,154.6,0.0643,0.0033,0.0515,1.4,8
"maker-scaffold123-size100118-snap-gene-0.44-mRNA-1","04127","4127",0.157,2274.7,569.3,0.0527,0.0114,0.2159,25.9,122.9
"maker-scaffold123-size100118-snap-gene-0.54-mRNA-1","04132","4132",0.084,2233.5,631.5,0.0783,0.0078,0.0998,17.5,63
"maker-scaffold123-size100118-snap-gene-0.55-mRNA-1","04133","4133",0.03,861.1,293.9,0.0208,8e-04,0.0369,0.7,10.8
"maker-scaffold123-size100118-augustus-gene-0.41-mRNA-1","04136","4136",0.094,359.4,114.6,0.0672,0.0072,0.1064,2.6,12.2
"maker-scaffold5441-size7214-augustus-gene-0.3-mRNA-1","04138","4138",0.079,610,140,0.0311,0.0038,0.1235,2.3,17.3
"maker-scaffold2777-size16540-snap-gene-0.8-mRNA-1","04140","4140",0.064,1209.3,335.7,0.0595,0.0048,0.0809,5.8,27.2
"snap_masked-scaffold8-size111038-abinit-gene-0.5-mRNA-1","04147","4147",0.037,235.4,82.6,0.0039,2e-04,0.0467,0,3.9
"maker-scaffold8-size111038-augustus-gene-0.14-mRNA-1","04148","4148",0.077,818.5,243.5,0.014,0.0015,0.1071,1.2,26.1
"maker-scaffold8-size111038-augustus-gene-1.7-mRNA-1","04151","4151",0.212,273.3,92.7,0.2051,0.0357,0.1742,9.8,16.1
"maker-scaffold268-size67922-augustus-gene-0.19-mRNA-1","04155","4155",0.083,4055.3,1365.7,0.0423,0.0041,0.0971,16.6,132.6
"maker-scaffold268-size67922-snap-gene-0.29-mRNA-1","04159","4159",0.037,1748.5,510.5,0.0411,0.0019,0.0472,3.4,24.1
"maker-scaffold667-size62758-augustus-gene-0.16-mRNA-1","04165","4165",0.142,627.6,182.4,0.2097,0.0256,0.1221,16.1,22.3
"maker-scaffold667-size62758-augustus-gene-0.17-mRNA-1","04166","4166",0.052,456.3,131.7,0.0772,0.0047,0.0615,2.2,8.1
"maker-scaffold1240-size55914-snap-gene-0.37-mRNA-1","04176","4176",0.085,2528.1,732.9,0.0522,0.0055,0.1062,14,77.9
"maker-scaffold1240-size55914-snap-gene-0.39-mRNA-1","04178","4178",0.114,617.5,189.5,0.1613,0.0172,0.1065,10.6,20.2
"maker-scaffold1240-size55914-augustus-gene-0.32-mRNA-1","04180","4180",0.138,378.1,143.9,0.1255,0.0158,0.1259,6,18.1
"maker-scaffold475-size54898-augustus-gene-0.8-mRNA-1","04184","4184",0.079,533.5,144.5,0.1559,0.0122,0.078,6.5,11.3
"maker-scaffold760-size96625-augustus-gene-0.12-mRNA-1","04188","4188",0.14,571.7,142.3,0.0445,0.0088,0.1988,5.1,28.3
"augustus_masked-scaffold78-size155304-abinit-gene-0.4-mRNA-1","04193","4193",0.111,555.9,191.1,0.0228,0.0031,0.136,1.7,26
"augustus_masked-scaffold78-size155304-abinit-gene-0.2-mRNA-1","04195","4195",0.049,325.6,112.4,0.1196,0.0056,0.0468,1.8,5.3
"maker-scaffold78-size155304-augustus-gene-0.53-mRNA-1","04197","4197",0.122,2117.4,633.6,0.1179,0.0149,0.1267,31.6,80.3
"snap_masked-scaffold78-size155304-abinit-gene-0.22-mRNA-1","04198","4198",0.086,1050.2,359.8,0.0578,0.0056,0.0961,5.8,34.6
"maker-scaffold78-size155304-augustus-gene-0.48-mRNA-1","04199","4199",0.079,1353.6,503.4,0.0171,0.0016,0.0933,2.2,47
"snap_masked-scaffold78-size155304-abinit-gene-0.25-mRNA-1","04200","4200",0.12,571.4,175.6,0.0486,0.0071,0.1466,4.1,25.7
"maker-scaffold78-size155304-augustus-gene-0.49-mRNA-1","04204","4204",0.186,1675.8,526.2,0.1543,0.0269,0.1741,45,91.6
"augustus_masked-scaffold78-size155304-abinit-gene-0.5-mRNA-1","04206","4206",0.07,899.8,273.2,0.0483,0.0042,0.0865,3.8,23.6
"maker-scaffold78-size155304-augustus-gene-0.58-mRNA-1","04209","4209",0.039,1536.5,536.5,0.0321,0.0015,0.0459,2.3,24.6
"augustus_masked-scaffold78-size155304-abinit-gene-0.19-mRNA-1","04210","4210",0.062,809.4,252.6,0.118,0.0074,0.0628,6,15.9
"maker-scaffold78-size155304-augustus-gene-0.59-mRNA-1","04212","4212",0.075,652.7,244.3,0.0303,0.0026,0.0847,1.7,20.7
"maker-scaffold78-size155304-snap-gene-0.71-mRNA-1","04213","4213",0.101,892.1,313.9,0.067,0.0072,0.1082,6.5,34
"augustus_masked-scaffold78-size155304-abinit-gene-0.21-mRNA-1","04215","4215",0.098,274.8,79.2,0.0184,0.0025,0.1372,0.7,10.9
"augustus_masked-scaffold2513-size28127-abinit-gene-0.0-mRNA-1","04219","4219",0.097,814.6,190.4,0.0926,0.0113,0.1218,9.2,23.2
"augustus_masked-scaffold3493-size7073-abinit-gene-0.0-mRNA-1","04225","4225",0.143,434.9,123.1,0.0651,0.0114,0.1759,5,21.6
"maker-scaffold2935-size23233-augustus-gene-0.5-mRNA-1","04227","4227",0.087,726.1,164.9,0.1048,0.0113,0.1074,8.2,17.7
"maker-scaffold1612-size18730-augustus-gene-0.5-mRNA-1","04230","4230",0.074,1671.5,467.5,0.0817,0.0072,0.0878,12,41.1
"maker-scaffold261-size61295-snap-gene-0.10-mRNA-1","04238","4238",0.028,2196.6,647.4,0.0239,9e-04,0.0385,2,24.9
"maker-scaffold4350-size18491-augustus-gene-0.4-mRNA-1","04240","4240",0.034,492.5,140.5,0.0572,0.0024,0.0421,1.2,5.9
"maker-scaffold402-size75919-snap-gene-0.25-mRNA-1","04243","4243",0.057,1484.5,462.5,0.041,0.0029,0.0706,4.3,32.6
"maker-scaffold402-size75919-augustus-gene-0.20-mRNA-1","04245","4245",0.074,655.2,172.8,0.0182,0.002,0.1108,1.3,19.2
"maker-scaffold402-size75919-augustus-gene-0.23-mRNA-1","04246","4246",0.033,398.9,147.1,0.0684,0.0023,0.0341,0.9,5
"augustus_masked-scaffold1520-size30869-abinit-gene-0.3-mRNA-1","04254","4254",0.057,104.3,21.7,0.0024,3e-04,0.1097,0,2.4
"augustus_masked-scaffold318-size282548-abinit-gene-0.4-mRNA-1","04255","4255",0.094,680.1,225.9,0.0371,0.0042,0.1135,2.9,25.7
"maker-scaffold318-size282548-snap-gene-0.22-mRNA-1","04256","4256",0.085,1185.9,308.1,0.055,0.0062,0.1133,7.4,34.9
"maker-scaffold318-size282548-augustus-gene-0.16-mRNA-1","04258","4258",0.042,869,301,0.0717,0.0032,0.0448,2.8,13.5
"maker-scaffold318-size282548-augustus-gene-0.20-mRNA-1","04259","4259",0.061,2358,585,0.0387,0.0034,0.0883,8.1,51.6
"maker-scaffold318-size282548-augustus-gene-0.19-mRNA-1","04260","4260",0.081,416.7,99.3,0.0513,0.0059,0.1157,2.5,11.5
"augustus_masked-scaffold318-size282548-abinit-gene-2.0-mRNA-1","04271","4271",0.132,996.7,314.3,0.1117,0.0152,0.136,15.1,42.7
"augustus_masked-scaffold318-size282548-abinit-gene-2.2-mRNA-1","04272","4272",0.008,1582.2,427.8,0.0596,6e-04,0.0108,1,4.6
"maker-scaffold1075-size18368-augustus-gene-0.7-mRNA-1","04277","4277",0.207,264.1,86.9,0.3114,0.0445,0.143,11.8,12.4
"maker-scaffold1983-size63826-augustus-gene-0.2-mRNA-1","04281","4281",0.07,448.2,130.8,0.1176,0.0086,0.0732,3.9,9.6
"augustus_masked-scaffold73-size162265-abinit-gene-0.1-mRNA-1","04286","4286",0.085,135.7,29.3,0.1055,0.0114,0.1078,1.5,3.2
"maker-scaffold859-size67324-augustus-gene-0.22-mRNA-1","04294","4294",0.189,590.2,183.8,0.0721,0.0155,0.2154,9.2,39.6
"augustus_masked-scaffold859-size67324-abinit-gene-0.5-mRNA-1","04296","4296",0.107,540.8,221.2,0.0444,0.0049,0.1103,2.7,24.4
"maker-scaffold859-size67324-augustus-gene-0.21-mRNA-1","04298","4298",0.082,2127.8,671.2,0.0707,0.0066,0.0928,14,62.3
"maker-scaffold859-size67324-augustus-gene-0.24-mRNA-1","04299","4299",0.105,1879.3,562.7,0.0553,0.0071,0.1285,13.4,72.3
"maker-scaffold859-size67324-augustus-gene-0.26-mRNA-1","04300","4300",0.152,386.2,126.8,0.1046,0.0163,0.1555,6.3,19.7
"maker-scaffold859-size67324-augustus-gene-0.25-mRNA-1","04303","4303",0.042,688.9,205.1,0.0329,0.0018,0.0547,1.2,11.2
"maker-scaffold960-size45578-augustus-gene-0.7-mRNA-1","04304","4304",0.095,460.4,151.6,0.1159,0.0109,0.0944,5,14.3
"augustus_masked-scaffold960-size45578-abinit-gene-0.1-mRNA-1","04305","4305",0.069,2403.3,746.7,0.0678,0.0054,0.0802,13.1,59.9
"augustus_masked-scaffold287-size231392-abinit-gene-0.5-mRNA-1","04308","4308",0.085,2295.7,698.3,0.1522,0.0123,0.0806,28.2,56.3
"maker-scaffold287-size231392-augustus-gene-0.27-mRNA-1","04309","4309",0.021,841.7,202.3,0.0501,0.0015,0.0293,1.2,5.9
"snap_masked-scaffold287-size231392-abinit-gene-0.20-mRNA-1","04310","4310",0.014,451.9,103.1,0.0332,8e-04,0.0227,0.3,2.3
"maker-scaffold287-size231392-augustus-gene-0.25-mRNA-1","04311","4311",0.097,1073.8,273.2,0.0587,0.0076,0.1291,8.1,35.3
"maker-scaffold287-size231392-augustus-gene-0.32-mRNA-1","04313","4313",0.053,280.6,103.4,0.0646,0.0036,0.056,1,5.8
"maker-scaffold287-size231392-snap-gene-0.41-mRNA-1","04314","4314",0.072,1458.2,482.8,0.0674,0.0054,0.0807,7.9,39
"augustus_masked-scaffold287-size231392-abinit-gene-0.8-mRNA-1","04316","4316",0.123,608.6,138.4,0.0751,0.0125,0.166,7.6,23
